newspaper,"Banking, finance, & commerce","Banking, finance, & commerce",33
newspaper,Civil rights,Civil rights,58
newspaper,Defense,Defense,51
newspaper,Education,Education,30
newspaper,Environment,Environment,20
newspaper,Governmental operations,Governmental operations,329
newspaper,Health,Health,39
newspaper,Immigration & integration,Immigration & integration,49
newspaper,Int. affairs & foreign aid,Int. affairs & foreign aid,76
newspaper,Labor & employment,Labor & employment,33
newspaper,Law & crime,Law & crime,74
newspaper,Other issue,Other issue,215
newspaper,Social welfare,Social welfare,38
newspaper,Transportation,Transportation,68
parlementary question,"Banking, finance, & commerce","Banking, finance, & commerce",62
parlementary question,Civil rights,Civil rights,108
parlementary question,Defense,Defense,74
parlementary question,Education,Education,69
parlementary question,Environment,Environment,82
parlementary question,Governmental operations,Governmental operations,94
parlementary question,Health,Health,223
parlementary question,Immigration & integration,Immigration & integration,76
parlementary question,Int. affairs & foreign aid,Int. affairs & foreign aid,136
parlementary question,Labor & employment,Labor & employment,68
parlementary question,Law & crime,Law & crime,210
parlementary question,Other issue,Other issue,322
parlementary question,Social welfare,Social welfare,59
parlementary question,Transportation,Transportation,111
